fold,spearman,r2,rmse
1,0.33164148476682975,0.11142927271025238,0.4088974647130936
2,0.33632612007576196,0.11251949409683626,0.4137337194625636
3,0.3011998538070945,0.08456890812180207,0.4153356953135451
4,0.32781889251388685,0.10079738287346551,0.4129067733743237
5,0.3106463824343985,0.09278550554977583,0.40724792237214746
