model,spearman,pearson_r,pearson_r2,r2,rmse
Random Forest,0.09055767871863107,0.08199955559262452,0.0069246913020493545,-0.07853759033268078,0.4507197284247274
Ridge,0.059964292288694224,0.03729016622708857,0.0016833152516288366,0.0005730607882909356,0.43388693019208197
