step	n_features	rho_mean	rho_sd	delta_vs_prev	p_perm
F1	36	0.32855986767444906	0.02585228965219653		
F1+F2	57	0.36020898169262183	0.030550060770612893	0.031649114018172816	0.0
F1+F2+F3	90	0.35969559229395953	0.032915453078130735	-0.0005133893986623681	0.702
F1+F2+F3+F4	92	0.3579392925734162	0.031027439897880812	-0.00175629972054333	0.1797
FULL	101	0.37592658153260017	0.03302605913069499	0.017987288959184004	0.0
