F1	F1+F2	F1+F2+F3	F1+F2+F3+F4	FULL	chrom
0.30627109485730813	0.34766549776119593	0.35148679282533424	0.34662434581193124	0.3568248529755421	1
0.3424588042248636	0.3720980977073006	0.3697222411410432	0.3836015536517447	0.37541850525861026	2
0.3592999149921992	0.39378974083067947	0.39778232136685127	0.3841609874299079	0.42630347193242485	3
0.3310207432276625	0.3379887720799582	0.34723794280399173	0.3472908764003663	0.3613716520237247	4
0.3063266805335796	0.3580688857660018	0.34736466807110217	0.34401198010460937	0.3684414348779987	5
0.3582066119654939	0.3810974009069268	0.3833360071799293	0.37830497184735706	0.42004271862257836	6
0.29615060217937256	0.35235902162375077	0.34988899564009074	0.3450100992335313	0.36805049585154714	7
0.3301972522188003	0.34344653861161223	0.34209706523232375	0.34823124622549173	0.34604622027816295	8
0.31777522077239534	0.32838929662189925	0.3316319138872026	0.3284764965133664	0.360455109735142	9
0.3551616150595841	0.3810321808624939	0.37290623922944016	0.3715662332545811	0.4080559038126451	10
0.3304755566579272	0.32489998612618565	0.3195913171460015	0.33005741912039577	0.33014312372745025	11
0.3466707762644384	0.34476194734297866	0.3511960434270064	0.35034696417921224	0.3728199227140516	12
0.31337714295942876	0.3743350607313751	0.38568677993576256	0.38427666762806556	0.39714796445690836	13
0.29248813355399633	0.3428509137236153	0.3406295279137142	0.3406835079365978	0.3534011278857542	14
0.3483234645415636	0.36185649673323766	0.3581974876442124	0.3520864364769998	0.3636272341413965	15
0.2936718762093179	0.37390141801201404	0.3693629775016961	0.365290149129907	0.35900891374657684	16
0.34154791592736866	0.37813764857793025	0.37091408767909445	0.36822679136089564	0.3911534593621576	17
0.32628486673777257	0.31976665680760474	0.3214890575726821	0.31186141634170184	0.3236121758954112	18
0.31347011893345744	0.3573224147301695	0.3568339730883942	0.3538545437736818	0.36637357949330784	19
0.31835079025608604	0.34690358913154945	0.3432891693997636	0.34106876015026955	0.39301121363300495	20
0.38595861174131263	0.4529472834569063	0.4596646703131272	0.4527354121673637	0.4587341133184091	21
0.2867197810334191	0.3142339897842701	0.3004959004028424	0.30672550497488704	0.33487988519033013	22
0.3566693816649811	0.396953741000648	0.40219344335946317	0.3981113654757079	0.4113882963166701	X
