model	rho_val	cal_coverage	S_rho	S_cal	S_interp	S_stab	S
ridge	0.33463594305205213	0.9135593220338983	0.33463594305205213	0.9849340866290018	1.0	0.9591356622189172	0.726754760768513
lasso	0.3272778584327098	0.9067796610169492	0.3272778584327098	0.992467043314501	1.0	0.9439386848989173	0.7237984205258758
xgb	0.4025724603024688	0.8813559322033898	0.4025724603024688	0.9792843691148776	0.7	0.9488044496617795	0.661766302910141
rf	0.3706646092363247	0.8135593220338984	0.3706646092363247	0.903954802259887	0.5	0.9358910247727388	0.5726459066237812
mlp	0.3646537737814564	0.8525423728813559	0.3646537737814564	0.9472693032015066	0.3	0.9506758987177423	0.5203829600246581
cnn	0.258723792007234	0.8908145580589255	0.258723792007234	0.989793953398806	0.3	0.5	0.4414483074826548
