gene_target	EEP	shap_chromatin_sum	shap_f5_sum	shap_seq_sum	ATAC_pm100	chromatin_pos	seq_dominated
ATP5F1B	100.0	7.285031020641327	4.781079590320587	-0.8022540444508195	13.299276351928713	True	False
KDM1A	100.0	2.090760499238968	1.6402179896831512	-3.925042406692228	8.83858585357666	True	False
ZC3H4	100.0	2.5325567042455077	1.993747591972351	9.123004514491186	9.28270149230957	True	True
TRERF1	100.0	-3.532369427382946	-0.45226310938596725	9.64267014246434	0.8551894426345825	False	True
WDR11-DT	100.0	7.9824405163526535	-1.7215890884399414	4.119569045025855	11.465997695922852	True	False
TOMM22	100.0	-1.3020020574331284	0.004299767315387726	13.325778517872095	4.859515190124512	False	True
TRMT10C	100.0	6.0073448731563985	5.334641516208649	8.890111219137907	9.831426620483398	True	True
RPS18	100.0	-1.7526506930589676	3.4949816465377808	-0.04731690953485668	3.5709338188171387	False	False
ENSG00000297264	100.0	4.668498370796442	0.9999834895133972	2.795989471487701	7.296360015869141	True	False
ENSG00000303764	100.0	-2.64622712880373	-1.2146551348268986	6.054878797207493	1.953870177268982	False	True
LAMTOR1	100.0	2.5052955709397793	-5.763711005449295	-1.6376476239529438	11.688400268554688	True	False
RBBP8-AS1	100.0	-1.0384331345558167	2.08558988571167	-3.9340958814136684	4.65421724319458	False	False
ARL2	100.0	2.77546342369169	-7.637331884354353	0.5029371037962846	7.90704345703125	True	False
GOLT1B	100.0	-2.7745585963129997	-0.6393756568431854	8.011787047609687	3.3954720497131348	False	True
EIF2B4	100.0	4.777491446584463	0.3451824188232422	13.663459356408566	8.544557571411133	True	True
ENSG00000288473	100.0	-1.6342552341520786	-0.6567224264144897	10.696906683035195	4.120843410491943	False	True
ENSG00000167807	100.0	3.1665795147418976	4.765280693769455	5.483045916538686	6.567821502685547	True	True
DCTN2	100.0	2.9133604243397713	5.4022077023983	3.2541075323242694	6.627131462097168	True	False
LINC01232	100.0	-0.7164377402514219	-0.2386537380516529	3.186118635814637	4.364670753479004	False	True
DHX15	100.0	2.8417476476170123	2.6327940225601196	10.801876524928957	8.088838577270508	True	True
NDUFA2	100.0	5.329655773937702	-0.4795990437269211	0.01911858282983303	7.8008551597595215	True	False
CINP	100.0	7.262855429202318	5.008784890174866	-1.3770583542063832	9.17481517791748	True	False
SF3B3	100.0	-0.8582332823425531	-0.2427535355091095	4.06432801351184	4.608891487121582	False	True
EPN1	100.0	2.6854786053299904	0.5994563698768616	5.478062541224062	6.719245910644531	True	True
ENSG00000300552	100.0	-0.06856201589107513	-1.7969215214252472	-11.284644508734345	4.383427143096924	False	False
SNORD97	100.0	-4.908528795000166	-0.7319746324792504	-3.025568826124072	0.475381851196289	False	False
ENSG00000294392	100.0	3.1440932229161263	0.9068508148193359	4.6241310313344	6.271694183349609	True	True
NDUFA10	100.0	1.9249525498598814	1.5062493979930878	-1.354569952469319	7.146223545074463	True	False
OGFOD1	100.0	4.960744064301252	3.7830911576747894	-5.240669061546214	10.355561256408691	True	False
NDRG3	100.0	-1.4160174895077944	-1.0872018337249756	11.015173011575826	4.882927894592285	False	True
PPRC1	100.0	4.213931765407324	2.93151718378067	11.83281911816448	7.723091125488281	True	True
ENSG00000299358	100.0	-2.4406702890992165	-0.8674429655075073	7.067962255328894	3.688283920288086	False	True
E4F1	100.0	1.7954510878771544	-2.0291382670402527	6.392710532061756	6.385388851165772	True	True
UBE2E1	100.0	-2.1231620274484158	-1.423122763633728	-16.755094991531223	1.7111927270889282	False	False
METAP2	100.0	2.999156102538109	1.4683124870061874	12.78050367673859	14.41393756866455	True	True
NFYC-AS1	100.0	-0.5332955978810787	-2.612717390060425	6.154195666276792	5.411951065063477	False	True
ELOVL5	100.0	-1.7401312738656998	-0.4134468734264374	2.5384365618228912	3.600062131881714	False	True
ENSG00000246308	100.0	-2.002917980775237	0.658932514488697	5.403780538588762	3.405193328857422	False	True
TRNAU1AP	100.0	6.002604931592941	-0.6604779064655304	10.825304435529688	8.516348838806152	True	True
CLTC	100.0	-2.5600705817341805	-1.367968201637268	3.8964235549792647	3.57249116897583	False	True
RARS1	100.0	-0.19197174161672592	-0.08012722432613373	7.445937338750809	5.39786434173584	False	True
LIAS	100.0	2.3343030428513885	2.826823592185974	-4.354040236212313	10.623316764831545	True	False
PIGF	100.0	5.485725174192339	0.272820096462965	12.105439344770275	11.979376792907717	True	True
HEATR1	100.0	-2.3431133683770895	-2.107396513223648	0.9289380833506584	2.6030569076538086	False	True
ZNF281	100.0	-2.2569259125739336	-1.7561044991016388	4.1998037946978	4.034788608551025	False	True
RMI1	100.0	-1.2877837531268597	1.4166127741336823	-0.22631517727859318	4.018370628356934	False	False
FH	100.0	1.858750618994236	2.3339850306510925	4.376808905159123	13.762544631958008	True	True
DNAJC2	100.0	0.8887908682227135	3.251937299966812	-24.684712912887335	4.944846153259277	True	False
MRPL13	100.0	3.096484325826168	3.4815924614667892	-2.17626151163131	8.34699535369873	True	False
PIERCE1	100.0	-1.932841069996357	0.4489523470401764	14.568326107168104	1.555155873298645	False	True
ENSG00000294824	100.0	-1.6985263116657734	1.127626582980156	9.014274553861469	2.633714199066162	False	True
NEDD1	100.0	3.9999932888895273	-0.36864741146564484	4.52947336062789	13.641047477722168	True	True
TAF1D	100.0	0.828145096078515	-7.42462320625782	9.066695453773718	5.092879295349121	True	True
MED16	100.0	3.3198226131498814	3.6359208524227142	-0.7700490858405828	6.463350772857666	True	False
MBD5	100.0	1.9665514286607504	0.528592512011528	11.490484729409218	6.475155830383301	True	True
PSMD1	100.0	2.0970417484641075	-2.6289998292922974	6.350299021229148	5.940267562866211	True	True
SNHG31	100.0	-3.1156176635995507	1.1602327525615692	0.1799157727509737	2.017920017242432	False	False
CENPW	100.0	-0.3714869897812605	-2.2147477865219116	-1.7553858160972595	4.900514125823975	False	False
PSMC6	100.0	5.4340448174625635	2.772882878780365	-6.815895743668079	12.95164680480957	True	False
MAU2	100.0	4.901249963790178	2.3215874191373587	8.058978474000469	10.048663139343262	True	True
ATF6-DT	100.0	-0.2218819372355938	-1.9689990282058716	2.4315731355163734	4.683717727661133	False	True
B4GALNT1	100.0	3.892603449523449	0.0906484741717577	1.9742219094187021	8.776571273803711	True	False
ENSG00000298744	100.0	1.197323516011238	-9.70185062289238	4.537744977045804	9.523599624633787	True	True
NIPSNAP2	100.0	-3.0170290456153452	2.9663582146167755	-1.5732948603108525	17.39641761779785	False	False
ENSG00000297479	100.0	3.138083230704069	1.5824528932571411	1.6720176325179636	8.039867401123047	True	False
RPEP6	100.0	-3.856833677738905	0.6708807647228241	1.8192253722809255	2.31172251701355	False	True
RPL35	100.0	-1.9463626220822334	0.06227942556142807	5.9152223649434745	4.11483097076416	False	True
TUBE1	100.0	3.4253770485520363	4.385572791099548	7.728125690482557	12.663938522338867	True	True
KIF18A	100.0	2.336360715329647	-0.7427947036921978	-6.681046687823255	6.483992576599121	True	False
ENSG00000273702	100.0	-3.121479693800211	2.0392623990774155	9.418234605807811	2.4274113178253174	False	True
ZRSR2	100.0	1.5604900531470776	1.1375467777252197	11.819983194116503	6.220047473907471	True	True
TXNL1	100.0	2.3381868451833725	0.14082413911819458	12.861835005227476	6.414831638336182	True	True
DESI1	100.0	-1.6082222172990441	1.0095582604408264	-2.8976341355592012	4.728497505187988	False	False
GAR1-DT	100.0	-0.6837095730006695	1.7730180621147156	9.27306826133281	4.462845802307129	False	True
XPR1	100.0	3.0931779639795423	-8.438779503107071	0.8762570256003528	11.857975959777832	True	False
ENSG00000293268	100.0	1.4120991080999374	0.795304536819458	-11.982031043618917	7.491741180419922	True	False
ARRB2	100.0	3.507643222808838	1.1097248792648315	9.684288664720953	7.115135192871094	True	True
POLR2D	100.0	-0.34585421113297343	5.759614825248718	-0.28588394192047417	5.414878845214844	False	False
SURF4	100.0	-3.2449596393853426	-0.8834669999778271	8.726981800456997	2.253101825714112	False	True
GTF2A2	100.0	1.3498571095988154	-0.27442125976085663	13.205249288585037	5.805145740509033	True	True
TAF8	100.0	2.829486315138638	5.005057156085968	14.136475747451186	5.932446479797363	True	True
SKA2	100.0	-1.7672027056105435	1.381845086812973	2.822106212377548	3.0783228874206543	False	True
VPS72	100.0	4.683594144880772	1.4858677685260773	9.3672225949922	8.7871675491333	True	True
AATF	100.0	5.920825366862118	5.084893703460693	2.2703131382586434	12.867376327514648	True	False
ATP5MK	100.0	-1.3602338284254074	1.196573793888092	0.12204200215637684	4.691040992736816	False	False
GET3	100.0	-3.1713326573371887	-0.06455338001251221	7.483918702462688	0.8544231653213501	False	True
TAF1	100.0	2.4099240098148584	-0.4869411736726761	-5.061282503884286	5.995549201965332	True	False
FAM216A	100.0	2.5120411720126867	-0.5790451169013977	11.787545729894191	6.911148071289063	True	True
CCNC	100.0	4.677302602678537	0.26817574352025986	-8.190543806180358	10.46729850769043	True	False
WNK1	100.0	-3.212118249386549	1.3577599078416824	5.0639972081407905	2.575812101364136	False	True
RPL19	100.0	-0.19415752030909061	2.952559232711792	0.6152323596179485	4.088393211364746	False	False
ENSG00000256966	100.0	-2.184981289319694	-0.7091967463493347	7.684734009206295	2.957650661468506	False	True
SMC1A	100.0	5.554077625274658	5.366903722286224	7.325666380580515	10.8927583694458	True	True
MED19	100.0	1.9032108820974827	5.544914811849594	7.572879089799244	6.118136405944824	True	True
TMEM232	100.0	1.9866966381669044	0.2468421459197998	1.5450942534953356	7.604157447814941	True	False
SNORD13	100.0	2.7668463364243507	1.1620187908411026	-5.864413154311478	7.736914157867432	True	False
CLPP	100.0	7.826424517377745	-0.22797095775604248	13.804816349875182	10.099485397338867	True	True
FAM136A	100.0	-0.46007513999938965	-0.2477349005639553	0.7275400902144611	4.17061710357666	False	True
ENSG00000288939	100.0	3.7116664331406355	3.9048011302948	6.309430185356177	9.010784149169922	True	True
GMPR2	100.0	-0.45797811076045036	-2.0508975237607956	11.219276838935912	4.930497169494629	False	True
