removed	n_features	rho_mean	rho_sd	delta_vs_full	p_perm
F1	65	0.22266272901181455	0.034457935524705045	0.15326385252078564	0.0
F2	80	0.3549542556344952	0.029478891227155538	0.020972325898105094	0.0
F3	68	0.37573429178299905	0.03462595386011212	0.0001922897496011035	0.89
F4	99	0.3767838039730122	0.03784681711775444	-0.0008572224404119272	0.6
F5	92	0.3579392925734162	0.031027439897880812	0.017987288959184004	0.0001
